flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
5,1,22/03/2014,7:11:20 AM,2810,4,cal2,ref,150.5,314.01,3.444673,20.00029,400.0022,443.5877,138.6902,201.066,100,322.6223,3.477423,-35.87558
5,1,22/03/2014,7:11:40 AM,2811,15,9,ref,150.5,515.4836,5.784712,19.99908,399.9942,426.2384,83.56918,201.2038,100,525.7677,5.807098,-12.04943
5,1,22/03/2014,7:12:00 AM,2812,16,9,samp,150.5,530.7266,5.95305,20.00141,399.9965,424.6537,92.47926,201.3147,100,541.1401,5.974747,-12.40319
5,1,22/03/2014,7:12:20 AM,2813,17,12,ref,150.5,523.923,5.879218,20.00592,399.9968,424.0738,94.15915,201.2192,100,534.2301,5.900715,-12.02437
5,1,22/03/2014,7:12:40 AM,2814,18,12,samp,150.5,550.8093,6.174679,20.00217,400.0006,424.1391,85.88846,201.242,100,561.3973,6.195448,-12.87446
5,1,22/03/2014,7:13:00 AM,2815,5,4,ref,150.5,501.0355,5.62583,20.00454,399.9991,424.0973,83.86978,201.1521,100,511.2476,5.649403,-11.58098
5,1,22/03/2014,7:13:20 AM,2816,6,4,samp,150.5,522.4444,5.862214,19.99711,400.0013,424.8821,64.04479,201.1268,100,532.7942,5.884361,-12.10738
5,1,22/03/2014,7:13:40 AM,2817,9,3,ref,150.5,482.2789,5.417845,20.00209,399.998,424.1427,78.62913,201.146,100,492.2466,5.441436,-11.2177
5,1,22/03/2014,7:14:00 AM,2818,10,3,samp,150.5,525.9758,5.900822,20.00093,400.0014,425.2844,53.97194,201.1715,100,536.353,5.922828,-12.24723
5,1,22/03/2014,7:14:20 AM,2819,13,10,ref,150.5,519.7194,5.832664,19.9997,399.9989,424.3192,75.31758,201.1313,100,530.0388,5.854832,-11.955
5,1,22/03/2014,7:14:40 AM,2820,14,10,samp,150.5,524.7827,5.88819,19.99859,399.9996,423.5187,92.62183,201.1671,100,535.151,5.910186,-12.14144
