flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,1,22/02/2014,6:43:00 AM,2931,5,4,ref,150.5,416.6102,4.684422,20.00125,400,442.1261,89.32617,195.7846,100,425.8295,4.714447,-9.704089
4,1,22/02/2014,6:43:20 AM,2932,6,4,samp,150.5,442.0192,4.965577,20.00015,399.9997,443.0608,69.23074,195.787,100,451.3962,4.994093,-10.37962
4,1,22/02/2014,6:43:40 AM,2933,17,11,ref,150.5,413.7512,4.653471,19.99904,399.9991,441.7337,98.6267,195.8288,100,422.9293,4.683367,-9.486416
4,1,22/02/2014,6:44:00 AM,2934,18,11,samp,150.5,453.0905,5.087817,19.99812,399.9983,442.1051,90.92493,195.8294,100,462.5372,5.115659,-10.70728
4,1,22/02/2014,6:44:20 AM,2935,9,3,ref,150.5,421.3344,4.737224,19.99789,399.998,442.3618,83.74348,195.8325,100,430.5837,4.766973,-9.727019
4,1,22/02/2014,6:44:40 AM,2936,10,3,samp,150.5,442.4451,4.970212,20.00024,399.9988,443.7869,54.32146,195.8244,100,451.8208,4.998656,-10.40621
4,1,22/02/2014,6:45:00 AM,2937,11,8,ref,150.5,424.9378,4.777587,20.00001,399.9985,441.3342,105.8203,195.8045,100,434.2021,4.806998,-9.734013
4,1,22/02/2014,6:45:20 AM,2938,12,8,samp,150.5,459.3239,5.156604,19.99853,399.9997,441.4185,104.0634,195.9272,100,468.8111,5.184105,-10.88724
4,1,22/02/2014,6:45:40 AM,2939,3,cal1,ref,150.5,762.0659,8.325488,19.99948,400.0241,460.7663,140.1247,195.5161,100,773.5203,8.336462,-35.99337
4,1,22/02/2014,6:46:00 AM,2940,4,cal2,ref,150.5,314.2566,3.444671,19.99701,400.0052,462.0953,142.2604,195.826,100,322.8016,3.481067,-35.40151
4,1,22/02/2014,6:46:20 AM,2941,15,9,ref,150.5,422.3941,4.749517,19.99954,399.991,444.301,88.77502,195.8614,100,431.473,4.775603,-9.978824
4,1,22/02/2014,6:46:40 AM,2942,16,9,samp,150.5,444.7135,4.995571,19.99509,399.9941,442.9496,97.71889,195.9722,100,453.9472,5.020385,-10.76005
4,1,22/02/2014,6:47:00 AM,2943,13,10,ref,150.5,417.4254,4.694405,20.00207,399.9988,443.1937,80.42666,195.8492,100,426.4697,4.720673,-9.885126
4,1,22/02/2014,6:47:20 AM,2944,14,10,samp,150.5,445.2448,5.002019,20.00224,399.9974,442.1331,97.70479,195.8721,100,454.4769,5.026802,-10.65034
4,1,22/02/2014,6:47:40 AM,2945,5,4,ref,150.5,426.5976,4.795509,19.9961,399.9989,442.4067,89.30845,195.8624,100,435.6893,4.821107,-10.21736
4,1,22/02/2014,6:48:00 AM,2946,6,4,samp,150.5,440.9171,4.954616,20.00511,399.9995,443.2267,69.22123,195.8383,100,450.1196,4.979667,-10.43974
4,1,22/02/2014,6:48:20 AM,2947,17,11,ref,150.5,416.4023,4.683333,20.00366,399.9994,441.8498,98.61084,195.8679,100,425.4489,4.709812,-9.793006
4,1,22/02/2014,6:48:40 AM,2948,18,11,samp,150.5,451.8452,5.0748,19.99915,399.9987,442.1885,90.93485,195.8606,100,461.1281,5.099253,-10.86644
4,1,22/02/2014,6:49:00 AM,2949,9,3,ref,150.5,417.7013,4.697657,20.00157,399.9993,442.4469,83.77769,195.8666,100,426.7451,4.72393,-9.841495
4,1,22/02/2014,6:49:20 AM,2950,10,3,samp,150.5,441.5213,4.960518,19.9972,399.9968,443.8266,54.33576,195.8546,100,450.7307,4.985534,-10.61697
4,1,22/02/2014,6:49:40 AM,2951,11,8,ref,150.5,428.7303,4.819661,20.0013,400.001,441.4166,105.8415,195.8903,100,437.8728,4.845525,-10.16502
4,1,22/02/2014,6:50:00 AM,2952,12,8,samp,150.5,458.2837,5.145981,20.00081,399.9981,441.4655,104.0389,195.9887,100,467.6095,5.170068,-11.03079
4,1,22/02/2014,6:50:20 AM,2953,15,9,ref,150.5,418.3853,4.705613,19.99897,399.9987,442.1912,88.79122,195.8672,100,427.4424,4.7319,-9.78859
4,1,22/02/2014,6:50:40 AM,2954,16,9,samp,150.5,443.8206,4.986771,20.00376,400.0005,441.8112,97.71861,196.0028,100,453.0443,5.011633,-10.51642
4,1,22/02/2014,6:51:00 AM,2955,13,10,ref,150.5,424.5268,4.77388,20.00278,400.0024,442.5417,80.47001,195.8619,100,433.6161,4.799796,-9.881249
4,1,22/02/2014,6:51:20 AM,2956,14,10,samp,150.5,444.1195,4.990167,20.00062,400.0004,441.7678,97.72218,195.9389,100,453.3477,5.015026,-10.50933
4,1,22/02/2014,6:51:40 AM,2957,5,4,ref,150.5,424.1527,4.769368,20.00002,399.9993,442.1888,89.35596,195.8803,100,433.2538,4.795376,-9.96577
4,1,22/02/2014,6:52:00 AM,2958,6,4,samp,150.5,440.1142,4.94604,20.00075,400.0005,443.1115,69.27556,195.864,100,449.3156,4.971169,-10.36045
4,1,22/02/2014,6:52:20 AM,2959,17,11,ref,150.5,428.2332,4.814577,20.00212,400,441.7742,98.66895,195.8979,100,437.3563,4.840307,-10.06299
4,1,22/02/2014,6:52:40 AM,2960,18,11,samp,150.5,450.8525,5.064839,20.00073,400.0001,442.1383,90.97353,195.8693,100,460.1293,5.089296,-10.65463
4,1,22/02/2014,6:53:00 AM,2961,9,3,ref,150.5,416.5838,4.685953,19.9973,399.9993,442.4073,83.78718,195.8866,100,425.6204,4.712161,-9.697826
4,1,22/02/2014,6:53:20 AM,2962,10,3,samp,150.5,440.5089,4.950044,19.99981,399.9989,443.8055,54.29848,195.8851,100,449.7137,4.975132,-10.44823
4,1,22/02/2014,6:53:40 AM,2963,11,8,ref,150.5,427.0017,4.80082,20.00263,399.9989,441.3679,105.8638,195.9205,100,436.125,4.826752,-10.04847
4,1,22/02/2014,6:54:00 AM,2964,12,8,samp,150.5,457.1197,5.133527,20.00539,399.9998,441.4665,104.0386,196.0148,100,466.4375,5.157665,-10.92412
